destination,hour,weekend,temperature,humidity,crowd
Munnar,8,0,19,50,75
Coorg,6,1,19,66,100
Munnar,9,0,23,53,86
Kodaikanal,14,1,25,92,100
Yercaud,15,0,26,56,100
Coorg,6,0,17,65,71
Ooty,10,0,28,87,100
Yercaud,9,0,20,78,85
Munnar,15,1,30,77,100
Yercaud,10,0,23,53,94
Ooty,10,1,30,59,100
Ooty,20,1,27,62,100
Munnar,13,0,24,65,100
Yercaud,14,1,27,52,100
Munnar,16,1,21,56,100
Yercaud,9,0,20,66,76
Munnar,13,0,17,72,86
Yercaud,7,0,16,79,66
Ooty,20,0,25,92,100
Yercaud,15,0,25,54,100
Kodaikanal,11,0,18,51,71
Ooty,15,1,21,81,100
Ooty,19,0,22,50,100
Ooty,14,0,26,82,100
Yercaud,20,0,27,74,100
Ooty,14,1,28,63,100
Kodaikanal,8,1,29,85,100
Yercaud,14,1,19,83,100
Munnar,18,1,29,65,100
Munnar,16,1,16,66,100
Munnar,15,0,15,75,98
Munnar,19,1,21,95,100
Coorg,10,1,16,90,100
Kodaikanal,9,1,30,56,100
Munnar,19,0,23,85,100
Kodaikanal,8,1,21,55,100
Yercaud,17,0,21,54,100
Kodaikanal,16,1,21,94,100
Munnar,17,0,25,51,100
Munnar,17,1,29,79,100
Kodaikanal,20,0,30,55,100
Kodaikanal,14,0,26,85,100
Ooty,12,1,20,75,100
Kodaikanal,7,0,16,92,84
Coorg,10,0,23,83,91
Yercaud,18,1,26,91,100
Coorg,14,1,22,52,100
Ooty,14,1,18,65,100
Yercaud,14,1,28,67,100
Munnar,9,1,18,85,100
Munnar,6,1,23,57,99
Munnar,11,1,16,81,100
Yercaud,11,1,26,60,100
Kodaikanal,18,0,22,88,100
Yercaud,14,1,25,78,100
Ooty,16,0,19,86,100
Coorg,19,0,19,85,100
Kodaikanal,6,1,20,78,91
Munnar,9,0,20,88,92
Yercaud,6,0,20,73,75
Kodaikanal,6,1,16,60,92
Yercaud,13,0,28,72,100
Yercaud,6,0,22,65,83
Kodaikanal,19,1,26,85,100
Coorg,12,1,16,77,100
Coorg,12,0,18,53,75
Munnar,8,0,26,78,100
Yercaud,19,0,26,61,100
Yercaud,8,0,20,90,86
Munnar,12,0,16,85,97
Coorg,9,0,15,94,80
Yercaud,19,0,22,71,100
Kodaikanal,7,0,22,72,79
Kodaikanal,14,0,19,66,87
Coorg,8,1,15,87,96
Ooty,18,0,30,70,100
Ooty,7,0,29,71,97
Ooty,19,0,24,95,100
Ooty,18,0,15,77,100
Yercaud,16,0,29,86,100
Coorg,7,1,19,93,100
Kodaikanal,8,1,15,71,92
Kodaikanal,7,0,18,54,68
Coorg,8,0,20,82,85
Munnar,13,1,29,72,100
Ooty,9,1,21,53,92
Yercaud,12,1,15,77,100
Ooty,15,0,22,87,100
Coorg,17,1,27,88,100
Yercaud,7,0,15,61,58
Ooty,14,1,18,84,100
Ooty,16,0,24,81,100
Yercaud,16,1,30,83,100
Kodaikanal,10,1,24,62,100
Ooty,13,1,19,88,100
Kodaikanal,13,1,16,56,100
Munnar,17,0,29,86,100
Ooty,18,0,29,85,100
Coorg,20,0,18,86,100
Ooty,12,0,22,56,99
Ooty,12,0,15,50,75
Munnar,20,1,19,85,100
Munnar,8,0,19,82,79
Kodaikanal,7,1,29,87,100
Ooty,19,0,29,92,100
Coorg,11,1,19,75,100
Yercaud,11,1,27,82,100
Coorg,17,0,28,70,100
Ooty,15,0,30,91,100
Yercaud,18,0,30,58,100
Coorg,10,0,17,55,69
Ooty,6,0,27,92,95
Coorg,7,0,22,62,68
Kodaikanal,19,0,29,50,100
Coorg,14,0,15,50,78
Yercaud,10,1,18,57,100
Kodaikanal,12,0,25,95,100
Ooty,14,0,21,65,100
Ooty,8,1,30,85,100
Kodaikanal,9,1,24,86,100
Coorg,15,0,24,52,99
Kodaikanal,8,1,20,76,100
Yercaud,6,1,15,68,86
Ooty,9,0,19,82,81
Munnar,19,0,25,82,100
Yercaud,17,0,20,51,95
Yercaud,15,0,25,81,100
Munnar,8,0,16,76,84
Coorg,10,1,21,72,100
Coorg,7,1,26,64,100
Munnar,10,1,29,75,100
Ooty,7,1,30,69,100
Kodaikanal,16,0,18,69,100
Ooty,9,0,26,84,100
Coorg,12,1,17,71,100
Yercaud,13,0,25,81,100
Yercaud,10,0,23,93,100
Yercaud,19,1,22,51,100
Kodaikanal,7,0,30,78,99
Yercaud,12,1,28,65,100
Yercaud,7,0,23,85,88
Ooty,8,1,19,77,98
Kodaikanal,19,0,22,75,100
Munnar,6,1,29,59,100
Yercaud,18,1,27,63,100
Ooty,10,1,23,53,96
Munnar,13,1,21,52,100
Ooty,8,1,22,61,100
Kodaikanal,20,0,25,81,100
Kodaikanal,13,1,27,57,100
Kodaikanal,12,0,29,93,100
Kodaikanal,9,1,24,75,100
Ooty,15,0,23,50,100
Yercaud,7,1,15,91,96
Kodaikanal,12,0,29,52,96
Ooty,12,1,21,55,99
Coorg,11,0,27,90,100
Kodaikanal,8,1,27,73,100
Munnar,6,0,18,76,77
Coorg,15,0,15,84,100
Yercaud,11,0,18,69,89
Yercaud,10,0,28,68,100
Munnar,13,1,24,74,100
Munnar,10,0,23,85,88
Kodaikanal,11,0,22,54,92
Ooty,9,1,18,77,96
Yercaud,10,0,25,76,96
Ooty,7,1,22,78,100
Ooty,20,1,29,83,100
Munnar,17,0,30,51,100
Kodaikanal,7,1,28,58,100
Munnar,16,1,20,82,100
Kodaikanal,9,0,25,80,100
Munnar,18,1,18,60,100
Yercaud,9,1,26,64,100
Coorg,20,0,29,67,100
Coorg,8,0,27,92,97
Kodaikanal,17,1,26,84,100
Munnar,15,0,19,67,93
Munnar,18,1,16,70,100
Munnar,12,1,25,59,100
Kodaikanal,9,0,16,69,86
Ooty,9,0,20,90,88
Munnar,16,1,30,52,100
Coorg,14,1,26,86,100
Yercaud,8,0,16,65,82
Munnar,6,0,27,85,87
Kodaikanal,7,1,16,72,100
Ooty,20,0,17,80,100
Coorg,11,1,17,62,100
Kodaikanal,9,1,18,75,96
Ooty,7,1,29,88,100
Ooty,19,0,24,77,100
Yercaud,7,1,28,83,100
Munnar,20,1,28,95,100
Coorg,19,0,19,60,100
Coorg,16,1,27,67,100
Coorg,20,0,16,88,100
Yercaud,14,1,18,60,100
Ooty,15,0,25,72,100
Yercaud,17,0,30,86,100
Munnar,11,1,25,69,100
Yercaud,19,0,27,80,100
Coorg,12,0,30,77,100
Munnar,11,0,28,59,95
Munnar,16,1,29,77,100
Munnar,13,1,30,78,100
Coorg,6,0,19,85,80
Yercaud,13,0,18,61,93
Kodaikanal,15,0,28,75,100
Yercaud,15,1,21,55,100
Munnar,16,0,18,65,100
Yercaud,16,1,26,56,100
Yercaud,7,1,21,95,100
Ooty,19,0,25,67,100
Munnar,11,0,20,84,88
Coorg,11,1,26,74,100
Munnar,6,0,23,55,72
Coorg,9,1,28,65,100
Coorg,8,0,23,87,93
Munnar,8,0,15,50,69
Yercaud,13,1,22,65,100
Kodaikanal,7,0,29,53,85
Yercaud,19,0,28,67,100
Yercaud,19,0,26,76,100
Munnar,16,1,25,71,100
Coorg,16,1,16,51,100
Ooty,9,0,26,78,100
Ooty,12,1,20,62,100
Coorg,14,1,29,85,100
Munnar,9,0,25,75,100
Yercaud,11,0,29,50,90
Ooty,16,0,18,53,98
Yercaud,20,0,18,79,100
Yercaud,11,0,27,76,93
Munnar,9,1,26,78,100
Munnar,15,0,20,90,100
Kodaikanal,7,0,16,60,60
Yercaud,19,1,18,54,100
Yercaud,9,1,25,90,100
Kodaikanal,19,1,15,74,100
Kodaikanal,19,0,16,79,100
Munnar,16,0,26,54,100
Kodaikanal,8,1,18,91,100
Kodaikanal,8,1,18,50,100
Coorg,16,0,23,90,100
Kodaikanal,18,1,25,72,100
Ooty,20,0,18,92,100
Munnar,16,1,17,55,100
Coorg,19,0,27,56,100
Yercaud,13,1,30,56,100
Ooty,13,0,15,69,82
Yercaud,19,1,24,63,100
Ooty,20,1,24,62,100
Munnar,16,1,18,77,100
Munnar,13,0,26,82,100
Coorg,13,1,22,82,100
Yercaud,6,0,28,61,91
Yercaud,6,0,15,95,87
Ooty,17,0,28,72,100
Coorg,12,0,21,65,100
Coorg,6,1,15,84,96
Kodaikanal,14,0,15,94,100
Ooty,20,1,22,82,100
Munnar,14,0,19,64,96
Munnar,7,0,26,68,78
Munnar,16,0,23,86,100
Coorg,9,1,23,65,100
Ooty,12,1,22,63,100
Ooty,14,0,22,76,100
Kodaikanal,17,1,28,68,100
Ooty,7,1,26,90,100
Ooty,19,1,30,81,100
Coorg,16,0,23,59,99
Ooty,10,0,23,95,100
Munnar,14,0,18,58,100
Munnar,8,0,15,60,71
Coorg,10,1,26,56,100
Kodaikanal,16,1,28,88,100
Coorg,8,1,23,83,100
Yercaud,6,1,15,66,82
Coorg,16,1,18,83,100
Ooty,18,0,18,55,100
Yercaud,9,1,21,67,100
Coorg,20,0,18,50,100
Kodaikanal,7,1,16,94,100
Kodaikanal,12,0,27,74,97
Kodaikanal,6,1,15,91,90
Munnar,19,1,27,67,100
Coorg,15,0,24,71,100
Munnar,11,0,22,64,100
Yercaud,7,1,19,51,79
Ooty,7,1,21,51,91
Ooty,12,1,15,50,90
Munnar,9,1,16,63,92
Kodaikanal,7,0,19,77,85
Coorg,7,1,19,51,92
Coorg,20,0,20,94,100
Kodaikanal,9,1,18,79,100
Munnar,9,0,18,77,76
Kodaikanal,15,0,27,79,100
Munnar,18,1,24,59,100
Munnar,6,1,22,66,99
Munnar,8,1,25,94,100
Coorg,10,0,30,85,100
Yercaud,8,1,25,89,100
Kodaikanal,16,0,26,73,100
Kodaikanal,8,0,20,94,85
Yercaud,6,0,22,84,85
Ooty,11,1,22,52,100
Yercaud,19,1,27,63,100
Coorg,9,1,29,70,100
Kodaikanal,7,1,28,82,100
Munnar,13,1,18,72,100
Munnar,8,0,25,70,86
Ooty,13,0,17,94,95
Ooty,20,1,16,89,100
Kodaikanal,15,0,17,73,100
Ooty,11,0,28,73,98
Munnar,10,1,20,85,100
Yercaud,15,1,20,80,100
Coorg,7,0,23,75,92
Ooty,8,1,23,59,92
Ooty,18,1,19,58,100
Munnar,13,1,24,60,100
Ooty,8,1,20,53,93
Ooty,10,0,23,74,98
Yercaud,19,0,21,93,100
Yercaud,6,0,20,88,88
Ooty,9,0,24,83,93
Munnar,12,1,24,87,100
Ooty,7,1,15,54,89
Yercaud,11,0,22,93,100
Munnar,7,1,25,88,100
Coorg,19,1,29,73,100
Kodaikanal,15,1,26,93,100
Coorg,17,0,15,51,95
Munnar,10,0,17,86,81
Yercaud,19,0,18,76,100
Kodaikanal,20,0,18,68,100
Coorg,12,0,29,50,100
Kodaikanal,20,1,18,79,100
Yercaud,14,0,22,58,98
Munnar,13,0,20,82,95
Coorg,14,0,28,72,100
Kodaikanal,19,0,15,63,100
Ooty,15,0,28,83,100
Coorg,9,0,29,74,92
Yercaud,18,1,30,67,100
Coorg,17,1,28,69,100
Yercaud,12,0,28,86,100
Ooty,11,1,29,67,100
Ooty,18,1,23,92,100
Munnar,9,1,30,82,100
Munnar,12,1,19,95,100
Kodaikanal,7,0,15,51,64
Yercaud,12,1,27,51,100
Coorg,12,1,28,65,100
Ooty,10,1,28,84,100
Ooty,20,1,28,83,100
Coorg,17,0,29,71,100
Coorg,18,1,25,88,100
Kodaikanal,17,0,17,92,100
Munnar,17,1,28,87,100
Kodaikanal,13,0,19,60,87
Munnar,18,0,17,56,100
Yercaud,17,0,30,77,100
Ooty,9,1,28,79,100
Ooty,8,1,15,76,95
Coorg,15,1,27,52,100
Coorg,10,0,29,57,100
Coorg,8,0,28,64,94
Coorg,19,1,20,74,100
Ooty,11,0,18,65,81
Kodaikanal,11,0,18,63,90
Yercaud,6,0,27,53,81
Ooty,17,0,25,94,100
Coorg,14,0,17,59,99
Munnar,8,1,22,94,100
Ooty,17,1,17,50,100
Coorg,6,1,22,95,100
Kodaikanal,14,1,29,78,100
Yercaud,12,0,15,80,86
Munnar,16,1,20,74,100
Yercaud,10,1,25,92,100
Ooty,13,1,19,85,100
Yercaud,10,0,27,59,88
Yercaud,8,0,22,55,79
Coorg,20,1,25,58,100
Coorg,20,0,19,95,100
Kodaikanal,16,1,21,62,100
Coorg,15,0,20,54,100
Munnar,18,1,19,60,100
Coorg,20,1,18,54,100
Munnar,10,0,20,50,74
Coorg,12,1,29,56,100
Coorg,15,1,17,59,100
Coorg,17,1,19,51,100
Yercaud,15,0,24,51,100
Coorg,15,1,22,87,100
Yercaud,7,0,28,68,88
Ooty,14,0,24,59,100
Munnar,7,1,25,67,99
Coorg,20,0,26,75,100
Kodaikanal,7,1,27,52,100
Yercaud,10,1,25,51,100
Kodaikanal,18,0,18,90,100
Ooty,7,0,17,72,78
Coorg,10,1,19,69,100
Coorg,16,1,15,57,100
Ooty,9,0,20,83,91
Kodaikanal,10,1,18,58,99
Yercaud,11,1,25,63,100
Coorg,7,0,23,78,76
Coorg,8,0,20,78,86
Kodaikanal,17,1,30,86,100
Yercaud,10,1,15,56,99
Munnar,19,1,22,74,100
Coorg,16,1,28,94,100
Coorg,18,0,19,67,100
Coorg,8,1,21,61,91
Yercaud,19,1,23,54,100
Kodaikanal,14,1,15,71,100
Kodaikanal,13,1,30,52,100
Kodaikanal,13,0,23,84,98
Munnar,14,0,25,94,100
Yercaud,16,0,29,75,100
Coorg,13,1,20,95,100
Munnar,10,1,23,83,100
Yercaud,14,0,21,63,100
Kodaikanal,6,0,17,90,75
Kodaikanal,14,0,29,65,100
Coorg,6,0,24,59,80
Coorg,7,1,30,53,100
Kodaikanal,20,1,27,57,100
Yercaud,19,0,15,87,100
Ooty,12,1,28,78,100
Munnar,9,1,29,64,100
Coorg,17,0,24,61,100
Ooty,9,1,22,93,100
Kodaikanal,18,0,19,64,100
Kodaikanal,18,1,24,90,100
Munnar,11,1,24,95,100
Kodaikanal,18,1,17,67,100
Yercaud,13,1,19,74,100
Munnar,20,0,23,50,100
Munnar,18,0,19,89,100
Yercaud,16,0,22,61,100
Yercaud,13,0,28,51,100
Yercaud,9,0,17,73,72
Yercaud,10,0,24,62,84
Coorg,10,1,25,91,100
Munnar,12,1,15,62,100
Coorg,20,1,25,68,100
Coorg,9,0,24,63,90
Yercaud,8,0,25,53,85
Ooty,16,1,17,68,100
Coorg,11,1,30,54,100
Munnar,9,0,30,70,100
Coorg,8,0,16,69,77
Munnar,7,0,25,64,92
Munnar,10,1,20,59,100
Munnar,20,1,29,85,100
Kodaikanal,15,1,28,56,100
Munnar,20,0,18,92,100
Ooty,17,0,18,84,100
Munnar,10,0,27,86,100
Yercaud,17,0,27,84,100
Ooty,11,0,26,70,100
Yercaud,11,1,21,62,100
Ooty,7,1,26,85,100
Ooty,20,0,18,92,100
Yercaud,13,1,27,65,100
Yercaud,18,1,24,50,100
Munnar,8,1,21,52,95
Yercaud,11,1,19,91,100
Kodaikanal,12,1,20,62,100
Kodaikanal,14,1,20,56,100
Kodaikanal,13,0,22,71,98
Yercaud,19,0,25,82,100
Ooty,11,0,23,70,99
Yercaud,15,0,25,67,100
Coorg,12,1,18,67,100
Kodaikanal,18,1,25,50,100
Yercaud,20,0,26,50,100
Ooty,9,0,20,58,87
Kodaikanal,13,1,25,88,100
Ooty,16,0,19,91,100
Munnar,7,1,22,52,90
Munnar,20,1,30,86,100
Munnar,12,0,15,75,80
Munnar,7,0,28,50,80
Ooty,13,1,16,55,100
Yercaud,16,1,28,59,100
Yercaud,11,1,23,71,100
Yercaud,16,1,21,84,100
Yercaud,10,0,30,70,100
Yercaud,13,0,28,93,100
Munnar,19,0,30,61,100
Kodaikanal,10,0,19,87,100
Ooty,18,1,29,69,100
Ooty,12,1,22,78,100
Coorg,10,0,23,75,92
Munnar,13,1,26,65,100
Munnar,11,1,28,53,100
Yercaud,13,1,23,72,100
Ooty,19,0,28,95,100
Munnar,13,0,24,88,100
Munnar,13,1,19,53,100
Munnar,12,0,26,90,100
Ooty,14,0,27,84,100
Ooty,14,0,16,72,100
Coorg,17,1,26,68,100
Ooty,11,0,25,63,100
Kodaikanal,19,1,30,85,100
Munnar,19,0,22,53,100
Munnar,6,1,28,83,100
Coorg,14,0,23,76,100
Yercaud,12,0,28,92,100
Ooty,20,1,26,90,100
Ooty,16,0,26,66,100
Munnar,16,1,16,74,100
Kodaikanal,7,1,30,62,100
Ooty,9,0,29,58,91
Kodaikanal,15,1,20,91,100
Munnar,6,0,19,58,59
Kodaikanal,9,0,20,88,84
Coorg,11,0,17,63,88
Munnar,15,1,21,93,100
Kodaikanal,18,1,18,90,100
Munnar,15,1,23,89,100
Yercaud,15,0,19,72,94
Ooty,19,0,24,87,100
Kodaikanal,12,0,23,84,100
Kodaikanal,12,1,18,60,100
Munnar,9,0,23,64,94
Coorg,18,0,26,54,100
Munnar,16,1,22,89,100
Ooty,13,1,21,79,100
Kodaikanal,6,0,20,85,84
Ooty,17,0,27,75,100
Coorg,12,0,22,73,93
Yercaud,7,0,19,85,80
Coorg,19,0,22,64,100
Munnar,6,1,26,54,96
Yercaud,16,0,19,55,100
Munnar,17,0,29,68,100
Munnar,18,1,20,73,100
Coorg,18,1,29,95,100
Coorg,12,1,29,95,100
Coorg,14,0,30,62,100
Kodaikanal,10,1,19,63,96
Yercaud,14,1,22,58,100
Ooty,10,1,23,81,100
Ooty,10,1,26,85,100
Ooty,19,1,20,84,100
Kodaikanal,20,0,17,85,100
Ooty,13,1,24,91,100
Coorg,17,1,19,74,100
Coorg,10,1,28,53,100
Kodaikanal,13,1,20,61,100
Kodaikanal,14,1,18,84,100
Kodaikanal,15,0,30,69,100
Coorg,15,0,23,71,97
Kodaikanal,17,0,16,65,94
Munnar,10,1,26,85,100
Coorg,11,0,21,50,94
Yercaud,10,1,15,85,100
Yercaud,14,0,16,87,92
Munnar,18,0,20,72,100
Kodaikanal,18,1,25,61,100
Kodaikanal,13,1,29,69,100
Ooty,17,0,22,64,100
Ooty,20,1,29,89,100
Kodaikanal,8,0,15,51,64
Kodaikanal,14,0,19,54,96
Munnar,9,0,30,61,100
Ooty,10,1,29,73,100
Coorg,8,0,20,69,76
Kodaikanal,7,1,18,61,90
Yercaud,9,1,15,79,93
Munnar,14,1,27,64,100
Coorg,7,1,30,71,100
Kodaikanal,10,0,21,61,85
Kodaikanal,16,0,16,77,100
Kodaikanal,12,0,15,65,74
Coorg,7,1,16,91,94
Ooty,6,0,17,51,73
Ooty,14,1,24,66,100
Coorg,8,1,23,68,95
Yercaud,15,1,17,95,100
Munnar,14,1,23,69,100
Yercaud,17,0,15,60,100
Yercaud,12,0,24,51,83
Yercaud,16,1,20,84,100
Munnar,6,0,16,80,84
Coorg,6,1,28,79,100
Munnar,10,0,21,90,95
Yercaud,20,0,30,55,100
Coorg,6,0,22,89,84
Kodaikanal,12,1,18,51,100
Yercaud,6,0,20,95,87
Ooty,6,1,20,53,91
Coorg,12,1,20,70,100
Ooty,18,0,30,62,100
Kodaikanal,6,0,29,89,93
Ooty,13,0,17,70,83
Ooty,9,1,26,59,100
Yercaud,16,0,27,71,100
Ooty,14,1,19,78,100
Ooty,7,0,26,85,88
Coorg,14,0,20,65,91
Ooty,17,1,18,79,100
Yercaud,17,1,28,65,100
Coorg,6,1,27,84,100
Munnar,12,0,29,91,100
Coorg,11,0,17,92,100
Coorg,17,0,21,87,100
Ooty,20,0,23,72,100
Munnar,20,1,24,57,100
Ooty,12,1,30,89,100
Ooty,17,0,22,90,100
Kodaikanal,11,1,26,68,100
Kodaikanal,8,0,24,66,81
Yercaud,12,0,29,54,100
Ooty,8,1,25,78,100
Coorg,18,1,29,54,100
Ooty,16,0,16,63,95
Ooty,7,0,20,66,68
Munnar,15,0,19,74,99
Coorg,19,1,28,72,100
Coorg,14,0,29,90,100
Kodaikanal,13,1,30,66,100
Coorg,14,1,23,85,100
Munnar,14,0,26,60,100
Yercaud,17,1,20,81,100
Ooty,7,1,26,82,100
Yercaud,13,0,26,84,100
Munnar,10,0,28,90,100
Ooty,7,1,19,64,89
Ooty,11,1,15,51,88
Kodaikanal,9,1,15,94,100
Munnar,17,1,27,64,100
Ooty,17,1,18,74,100
Coorg,13,1,21,88,100
Kodaikanal,8,0,20,73,91
Munnar,9,0,19,83,96
Munnar,12,1,16,95,100
Ooty,16,1,17,90,100
Coorg,15,0,27,66,100
Coorg,15,1,24,79,100
Kodaikanal,18,0,19,59,100
Yercaud,13,1,27,53,100
Kodaikanal,14,0,26,67,100
Yercaud,15,1,28,87,100
Coorg,13,1,25,94,100
Munnar,20,1,28,72,100
Kodaikanal,12,0,18,90,100
Ooty,17,1,15,81,100
Coorg,12,1,25,87,100
Kodaikanal,20,1,20,68,100
Ooty,12,1,24,87,100
Ooty,6,1,19,94,100
Kodaikanal,18,1,30,66,100
Ooty,14,1,28,59,100
Munnar,11,0,26,80,100
Ooty,6,1,15,68,84
Kodaikanal,6,0,19,86,87
Coorg,8,1,17,80,94
Munnar,19,1,17,69,100
Ooty,8,1,29,64,100
Ooty,6,1,18,90,100
Munnar,19,1,21,63,100
Yercaud,6,1,22,90,99
Ooty,20,1,18,85,100
Kodaikanal,9,0,30,95,100
Ooty,7,1,23,59,100
Munnar,7,1,16,72,98
Yercaud,12,1,17,64,100
Kodaikanal,12,1,28,81,100
Coorg,18,0,30,87,100
Munnar,11,1,23,76,100
Munnar,16,1,27,53,100
Kodaikanal,12,1,30,83,100
Munnar,14,1,18,50,100
Yercaud,13,1,18,80,100
Kodaikanal,6,0,17,87,81
Kodaikanal,9,0,19,75,95
Munnar,7,1,23,86,100
Munnar,10,1,28,68,100
Yercaud,13,1,24,67,100
Coorg,18,0,21,83,100
Ooty,14,0,20,80,96
Munnar,20,0,28,53,100
Munnar,11,1,21,69,100
Yercaud,15,0,28,94,100
Munnar,17,0,27,65,100
Coorg,15,0,21,68,100
Yercaud,9,1,26,70,100
Yercaud,13,0,22,81,100
Kodaikanal,20,1,23,93,100
Coorg,10,0,16,67,83
Ooty,19,0,18,82,100
Coorg,9,0,18,57,72
Kodaikanal,8,1,29,72,100
Coorg,9,1,16,78,100
Yercaud,10,0,26,78,100
Coorg,17,0,20,57,100
Yercaud,10,0,22,83,99
Yercaud,9,1,20,71,96
Coorg,16,0,21,52,100
Coorg,18,1,22,94,100
Coorg,7,0,23,84,79
Ooty,9,0,17,94,98
Coorg,8,0,29,55,95
Munnar,7,0,24,93,99
Munnar,13,0,27,85,100
Kodaikanal,18,1,23,87,100
Yercaud,20,1,25,60,100
Coorg,18,1,20,80,100
Yercaud,10,1,21,55,94
Munnar,13,1,22,88,100
Ooty,20,1,23,68,100
Ooty,17,0,18,93,100
Ooty,11,0,15,69,74
Kodaikanal,20,0,20,51,100
Coorg,16,0,20,76,100
Munnar,13,0,30,72,100
Munnar,18,0,27,70,100
Kodaikanal,20,1,20,50,100
Munnar,13,0,17,90,90
Coorg,17,0,21,93,100
Munnar,19,0,18,65,100
Kodaikanal,19,0,23,90,100
Kodaikanal,12,1,15,91,100
Kodaikanal,13,1,24,64,100
Kodaikanal,16,0,29,63,100
Kodaikanal,17,1,22,74,100
Coorg,6,1,25,54,87
Coorg,20,1,21,92,100
Ooty,14,0,29,95,100
Yercaud,15,1,21,90,100
Coorg,12,0,17,69,80
Coorg,16,1,16,61,100
Ooty,10,0,28,80,100
Yercaud,9,1,29,72,100
Munnar,18,1,29,71,100
Yercaud,20,0,16,84,100
Kodaikanal,14,1,22,82,100
Ooty,18,1,26,85,100
Munnar,11,0,20,51,81
Kodaikanal,18,1,28,53,100
Coorg,11,0,29,84,100
Munnar,12,1,15,80,100
Yercaud,12,1,30,63,100
Yercaud,6,0,28,70,91
Ooty,12,0,28,82,100
Kodaikanal,19,0,30,86,100
Munnar,15,1,30,86,100
Munnar,8,0,23,95,98
Kodaikanal,6,0,20,81,74
Ooty,8,0,17,94,79
Coorg,13,0,18,79,88
Coorg,9,1,27,53,100
Ooty,13,1,23,52,100
Kodaikanal,8,0,29,75,94
Munnar,15,1,27,88,100
Kodaikanal,16,0,26,74,100
Munnar,12,1,18,95,100
Yercaud,18,1,20,74,100
Ooty,11,0,21,89,93
Kodaikanal,12,1,15,52,100
Coorg,18,0,19,86,100
Munnar,13,0,26,81,100
Yercaud,17,1,21,81,100
Ooty,10,0,24,50,82
Yercaud,8,1,30,90,100
Kodaikanal,8,1,27,80,100
Coorg,6,0,15,78,70
Coorg,15,1,19,67,100
Yercaud,7,1,21,82,100
Munnar,14,0,30,81,100
Munnar,18,1,25,72,100
Ooty,13,0,28,83,100
Kodaikanal,14,1,30,61,100
Coorg,17,1,16,93,100
Munnar,11,1,22,50,100
Munnar,7,1,17,61,93
Kodaikanal,12,1,20,79,100
Munnar,11,0,27,80,100
Kodaikanal,11,1,26,73,100
Kodaikanal,13,0,21,82,96
Munnar,7,0,28,54,79
Yercaud,12,0,28,88,100
Coorg,14,1,16,92,100
Ooty,7,1,27,64,100
Munnar,6,1,17,64,95
Kodaikanal,8,0,18,58,80
Coorg,15,1,27,94,100
Munnar,13,0,22,95,100
Ooty,9,1,22,50,100
Yercaud,7,1,15,57,92
Kodaikanal,8,0,24,50,80
Coorg,18,0,28,94,100
Ooty,19,0,30,80,100
Ooty,15,1,24,84,100
Yercaud,10,0,25,68,89
Munnar,16,0,22,90,100
Yercaud,15,1,29,95,100
Yercaud,15,0,30,68,100
Kodaikanal,10,0,30,92,100
Ooty,11,0,26,51,98
Munnar,20,0,20,50,100
Munnar,9,1,20,62,100
Yercaud,18,1,18,51,100
Ooty,11,0,19,69,94
Ooty,18,0,30,74,100
Ooty,8,1,19,90,100
Munnar,17,0,18,76,100
Munnar,7,0,30,69,100
Coorg,19,0,26,50,100
Yercaud,15,0,24,52,100
Munnar,14,1,22,71,100
Kodaikanal,16,1,30,86,100
Munnar,19,0,21,72,100
Munnar,16,0,22,85,100
Ooty,15,0,26,51,100
Yercaud,17,0,20,73,100
Coorg,10,1,30,68,100
Yercaud,14,0,27,79,100
Munnar,8,0,20,89,92
Coorg,18,0,26,53,100
Ooty,20,1,18,93,100
Kodaikanal,19,0,26,62,100
Yercaud,17,1,25,82,100
Kodaikanal,12,0,25,62,89
Yercaud,18,1,27,71,100
Coorg,15,1,18,94,100
Munnar,17,0,26,93,100
Kodaikanal,14,1,24,50,100
Kodaikanal,9,1,23,63,98
Kodaikanal,13,0,21,55,100
Coorg,20,0,18,67,100
Kodaikanal,8,0,24,67,83
Munnar,14,0,20,79,100
Munnar,20,0,21,93,100
Yercaud,11,0,16,67,74
Yercaud,6,0,18,85,89
Coorg,6,0,24,51,73
Ooty,16,0,18,83,100
Yercaud,14,1,24,61,100
Ooty,12,1,20,78,100
Ooty,7,1,21,65,88
Munnar,8,1,28,86,100
Kodaikanal,12,0,25,57,88
Yercaud,9,1,20,83,100
Kodaikanal,18,0,16,56,100
Munnar,20,0,20,81,100
Munnar,18,1,27,56,100
Coorg,19,1,27,53,100
Ooty,8,1,19,83,97
Kodaikanal,13,1,27,85,100
Kodaikanal,17,0,20,75,100
Munnar,11,0,19,63,92
Kodaikanal,7,0,17,71,79
Ooty,6,0,18,53,67
Kodaikanal,15,1,22,52,100
Munnar,8,1,19,79,100
Kodaikanal,8,0,17,53,62
Munnar,18,0,22,69,100
Coorg,10,1,20,72,100
Yercaud,14,1,23,53,100
Yercaud,18,1,17,68,100
Munnar,7,1,15,85,100
Ooty,12,1,21,76,100
Coorg,9,1,24,86,100
Munnar,7,1,17,92,100
Munnar,15,1,28,95,100
Ooty,17,1,25,73,100
Ooty,17,0,21,52,100
Coorg,10,0,23,90,93
Yercaud,20,0,22,66,100
Kodaikanal,17,0,30,58,100
Kodaikanal,13,0,22,71,90
Yercaud,13,0,18,56,92
